Dis No,Year,Seq,Disaster Subgroup,Disaster Type,Disaster Subtype,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,Total Affected,Total Damages Adj
1936-0011-IDN,1936,11,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,"Tapanuli, Karo (North Sumatera)",,,0,Richter,3.5,97.5,1936,9,9,1936,9,9,17,0,0
1938-0009-IDN,1938,9,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,Tomini Gulf (Central Sulawesi),,Tsunami/Tidal wave,8,Richter,-0.56,118.88,1938,5,20,1938,5,20,0,5630,0
1939-0001-CHL,1939,1,Geophysical,Earthquake,Ground movement,Chile,CHL,South America,Americas,Chillan region (Concepcion),,Tsunami/Tidal wave,8,Richter,-36.3,-72.32,1939,1,24,1939,1,24,30000,58500,19312844
1939-0005-GHA,1939,5,Geophysical,Earthquake,Ground movement,Ghana,GHA,Western Africa,Africa,Accra,,Tsunami/Tidal wave,6,Richter,5.55,-0.63,1939,6,22,1939,6,22,22,7630,0
1942-0001-ECU,1942,1,Geophysical,Earthquake,Ground movement,Ecuador,ECU,South America,Americas,Guayaquavil,,,0,Richter,-0.02,-79.96,1942,5,13,1942,5,13,200,0,44678
1943-0010-CHL,1943,10,Geophysical,Earthquake,Ground movement,Chile,CHL,South America,Americas,Illapel,,Tsunami/Tidal wave,8,Richter,-31.43,-71.47,1943,4,6,1943,4,6,12,35,1687452
1943-0024-IDN,1943,24,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,Jogyakarta (Central Java),,,7,Richter,-8.59,109.8,1943,7,23,1943,7,23,213,16096,0
1944-0002-ARG,1944,2,Geophysical,Earthquake,Ground movement,Argentina,ARG,South America,Americas,San Juan,,,7,Richter,-31.37,68.44,1944,1,15,1944,1,15,10000,155000,1658743
1946-0013-CHL,1946,13,Geophysical,Earthquake,Ground movement,Chile,CHL,South America,Americas,Northern,,Tsunami/Tidal wave,8,Richter,-26.5,-70.5,1946,8,2,1946,8,2,2,0,0
1946-0021-DOM,1946,21,Geophysical,Earthquake,Ground movement,Dominican Republic (the),DOM,Caribbean,Americas,Northeasetrn coast,,Tsunami/Tidal wave,8,Richter,19.25,-69.0,1946,8,4,1946,8,4,73,0,0
1946-0001-DZA,1946,1,Geophysical,Earthquake,Ground movement,Algeria,DZA,Northern Africa,Africa,"Hodna Mountains, Constantine",,,0,Richter,35.75,5.0,1946,2,12,1946,2,12,276,0,0
1949-0010-ECU,1949,10,Geophysical,Earthquake,Ground movement,Ecuador,ECU,South America,Americas,"Pelileo, Ambato",,"Slide (land, mud, snow, rock)",7,Richter,-1.5,-78.2,1949,8,5,1949,8,5,6000,100000,245448
1949-0005-CHL,1949,5,Geophysical,Earthquake,Ground movement,Chile,CHL,South America,Americas,"Angol, Traiguan",,Tsunami/Tidal wave,7,Richter,-38.0,-73.5,1949,4,19,1949,4,19,35,155,478623
1949-0015-CHL,1949,15,Geophysical,Earthquake,Ground movement,Chile,CHL,South America,Americas,Tierra del Fuego,,Tsunami/Tidal wave,8,Richter,-54.0,-71.0,1949,12,17,1949,12,17,6,18,63816
1950-0008-IND,1950,8,Geophysical,Earthquake,Ground movement,India,IND,Southern Asia,Asia,Assam province,,"Slide (land, mud, snow, rock)",9,Richter,28.5,96.5,1950,8,15,1950,8,15,1500,0,242732
1950-0028-COL,1950,28,Geophysical,Earthquake,Ground movement,Colombia,COL,South America,Americas,"Santander, Amboledas",,,0,Richter,7.8,-72.5,1950,7,8,1950,7,8,211,40000,60683
1952-0010-HTI,1952,10,Geophysical,Earthquake,Ground movement,Haiti,HTI,Caribbean,Americas,Anse-a-Veau,,,0,Richter,18.3,73.2,1952,10,27,1952,10,27,6,0,219919
1953-0012-CHL,1953,12,Geophysical,Earthquake,Ground movement,Chile,CHL,South America,Americas,"Chillan, Concepcion",,Tsunami/Tidal wave,8,Richter,-37.09,-72.87,1953,5,6,1953,5,6,12,40,5456933
1953-0054-CYP,1953,54,Geophysical,Earthquake,Ground movement,Cyprus,CYP,Western Asia,Asia,Paphos,,Tsunami/Tidal wave,6,Richter,34.74,32.34,1953,9,10,1953,9,10,40,2600,0
1953-0001-GRC,1953,1,Geophysical,Earthquake,Ground movement,Greece,GRC,Southern Europe,Europe,"Zakinthos (Zante), Kephalonie (Ionian Islands)",,Tsunami/Tidal wave,7,Richter,38.18,20.94,1953,8,12,1953,8,12,476,141277,1091387
1953-0021-CHL,1953,21,Geophysical,Earthquake,Ground movement,Chile,CHL,South America,Americas,,,,7,Richter,-22.1,-68.7,1953,12,6,1953,12,6,3,15,79780
1954-0017-DZA,1954,17,Geophysical,Earthquake,Ground movement,Algeria,DZA,Northern Africa,Africa,Orleansville,,Tsunami/Tidal wave,7,Richter,36.28,1.47,1954,9,9,1954,9,9,1250,134250,65240
1954-0009-AFG,1954,9,Geophysical,Earthquake,Ground movement,Afghanistan,AFG,Southern Asia,Asia,North Region,,,0,Richter,36.0,66.0,1954,6,10,1954,6,10,2000,0,0
1954-0044-GRC,1954,44,Geophysical,Earthquake,Ground movement,Greece,GRC,Southern Europe,Europe,Sophades (Karditsa),,,7,Richter,39.3,22.2,1954,4,30,1954,4,30,31,200,34251
1955-0038-CHN,1955,38,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,"Kangting, Sikang (Sichuan province)",,,8,Richter,30.0,101.8,1955,4,14,1955,4,14,39,113,0
1955-0020-EGY,1955,20,Geophysical,Earthquake,Ground movement,Egypt,EGY,Northern Africa,Africa,Near Cairo,,,6,Richter,32.2,29.6,1955,9,12,1955,9,12,20,28,0
1956-0037-GRC,1956,37,Geophysical,Earthquake,Ground movement,Greece,GRC,Southern Europe,Europe,"Santorini, Islands of Amorgos and Astypaiaia, Aegean islands, Crete, Folegrandos",,Tsunami/Tidal wave,8,Richter,36.66,25.96,1956,7,9,1956,7,9,53,100,0
1956-0008-AFG,1956,8,Geophysical,Earthquake,Ground movement,Afghanistan,AFG,Southern Asia,Asia,Kabul,,,8,Richter,35.1,67.5,1956,6,10,1956,6,10,100,2000,269149
1956-0056-ESP,1956,56,Geophysical,Earthquake,Ground movement,Spain,ESP,Southern Europe,Europe,Grenade (Andalousia),,,0,Richter,37.0,-4.0,1956,4,19,1956,4,19,11,70,0
1956-0038-IND,1956,38,Geophysical,Earthquake,Ground movement,India,IND,Southern Asia,Asia,"Anjar, Bhuj, Gandhidham, Kandla",,,6,Richter,23.0,70.0,1956,7,21,1956,7,21,113,219,0
1958-0024-IDN,1958,24,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,Malang (East Java),,,7,Richter,-9.5,112.5,1958,10,20,1958,10,20,8,3361,0
1960-0013-CHL,1960,13,Geophysical,Earthquake,Tsunami,Chile,CHL,South America,Americas,"Puerto Montt, Valdivia (Arauco peninsula)",,Volcanic activity,10,Richter,-38.14,-73.41,1960,5,22,1960,5,22,6000,2003000,5442439
1960-0033-DZA,1960,33,Geophysical,Earthquake,Ground movement,Algeria,DZA,Northern Africa,Africa,"Melouza, Beni Illmane",,,6,Richter,36.0,4.1,1960,2,21,1960,2,21,57,1250,0
1961-0016-ETH,1961,16,Geophysical,Earthquake,Ground movement,Ethiopia,ETH,Eastern Africa,Africa,"Wollo, Karakore",,,7,Richter,10.4,39.9,1961,6,2,1961,6,2,30,0,0
1962-0044-ALB,1962,44,Geophysical,Earthquake,Ground movement,Albania,ALB,Southern Europe,Europe,"Fier, Volre",,,6,Richter,40.9,19.5,1962,3,18,1962,3,18,15,154,0
1962-0030-COL,1962,30,Geophysical,Earthquake,Ground movement,Colombia,COL,South America,Americas,"Mistrato, Manizales",,,7,Richter,5.17,-76.35,1962,7,30,1962,7,30,47,300,0
1964-0016-AZO,1964,16,Geophysical,Earthquake,Ground movement,Azores Islands,AZO,Southern Europe,Europe,Sao Jorge Isl.,,,5,Richter,38.8,-28.4,1964,2,18,1964,2,18,0,1000,0
1965-0093-IDN,1965,93,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,Sanana Island,,Tsunami/Tidal wave,8,Richter,-2.61,-125.95,1965,1,24,1965,1,24,71,15000,0
1965-0016-CHL,1965,16,Geophysical,Earthquake,Ground movement,Chile,CHL,South America,Americas,"Coquimbo, Santiago (Central Valley)",,,7,Richter,-32.52,-71.23,1965,3,28,1965,3,28,400,20350,1161022
1965-0002-DZA,1965,2,Geophysical,Earthquake,Ground movement,Algeria,DZA,Northern Africa,Africa,M'sila & Environs,,,6,Richter,35.7,4.4,1965,1,1,1965,1,1,2,49350,18576
1965-0015-GRC,1965,15,Geophysical,Earthquake,Ground movement,Greece,GRC,Southern Europe,Europe,"Alonisos y Skopelos,  C Patras, Corinth,  C Peloponnesus",,,6,Richter,39.4,24.0,1965,3,9,1965,3,9,38,30253,74305
1966-0090-CHL,1966,90,Geophysical,Earthquake,Ground movement,Chile,CHL,South America,Americas,Taltal & Catalina,,,8,Richter,-25.49,-70.55,1966,12,28,1966,12,28,4,3006,3607
