Dis No,Year,Seq,Disaster Subgroup,Disaster Type,Disaster Subtype,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,Total Affected,Total Damages Adj
1986-0123-SLV,1986,123,Geophysical,Earthquake,Ground movement,El Salvador,SLV,Central America,Americas,San Salvador,,,8,Richter,13.4,89.1,1986,10,10,1986,10,10,1100,770000,4005008
1986-0106-SUN,1986,106,Geophysical,Earthquake,Ground movement,Soviet Union,SUN,Russian Federation,Europe,Moldavia,,,6,Richter,26.0,46.5,1986,8,31,1986,8,31,1,225558,1949104
1986-0171-SUN,1986,171,Geophysical,Earthquake,Ground movement,Soviet Union,SUN,Russian Federation,Europe,Akhalkalaki area (Georgia),,,6,Richter,41.43,43.74,1986,5,13,1986,5,13,2,4500,0
1986-0058-TUR,1986,58,Geophysical,Earthquake,Ground movement,Turkey,TUR,Western Asia,Asia,"Malatya, Adiyaman provinces",,,6,Richter,37.99,37.81,1986,5,5,1986,5,5,15,20100,0
1986-0183-TUR,1986,183,Geophysical,Earthquake,Ground movement,Turkey,TUR,Western Asia,Asia,Aydin area,,,6,Richter,37.93,28.57,1986,10,11,1986,10,11,0,1003,0
1986-0177-USA,1986,177,Geophysical,Earthquake,Ground movement,United States of America (the),USA,Northern America,Americas,Newport Beach-San Diego area,,,6,Richter,32.98,117.86,1986,7,13,1986,7,13,0,179,1922
1986-0182-VEN,1986,182,Geophysical,Earthquake,Ground movement,Venezuela (Bolivarian Republic of),VEN,South America,Americas,Churuguara area,,,6,Richter,10.77,69.43,1986,7,18,1986,7,18,1,150,0
1987-0179-USA,1987,179,Geophysical,Earthquake,Ground movement,United States of America (the),USA,Northern America,Americas,Los Angeles-Whittier (California),,,6,Richter,34.06,-118.08,1987,10,1,1987,10,1,8,2200,548607
1987-0254-USA,1987,254,Geophysical,Earthquake,Ground movement,United States of America (the),USA,Northern America,Americas,Imperial county (California),,,7,Richter,33.01,115.84,1987,11,24,1987,11,24,0,94,10302
1988-0369-UGA,1988,369,Geophysical,Earthquake,Ground movement,Uganda,UGA,Eastern Africa,Africa,"West Nile, Arura",,Flood,0,Richter,3.02,30.56,1988,8,8,1988,8,8,0,2000,0
1988-0675-SLB,1988,675,Geophysical,Earthquake,Ground movement,Solomon Islands,SLB,Melanesia,Oceania,Southwestern coast San Cristobal,,,7,Richter,-10.2,160.85,1988,8,10,1988,8,10,1,500,0
1988-0528-SUN,1988,528,Geophysical,Earthquake,Ground movement,Soviet Union,SUN,Russian Federation,Europe,"Leninakan, Kirovakan, Spitak cities (Armenia)",,,7,Richter,40.99,44.18,1988,12,7,1988,12,7,25000,1642000,34645914
1989-0139-DZA,1989,139,Geophysical,Earthquake,Ground movement,Algeria,DZA,Northern Africa,Africa,"Chenoua, Blida, Tipasa, Boumerdes, Wilaya, El-Nador",,Tsunami/Tidal wave,6,Richter,36.79,2.45,1989,10,29,1989,10,29,22,12184,0
1989-0142-AUS,1989,142,Geophysical,Earthquake,Ground movement,Australia,AUS,Australia and New Zealand,Oceania,Newcastle,,,5,Richter,-32.97,151.62,1989,12,28,1989,12,28,12,2115,2360754
1989-0071-BGD,1989,71,Geophysical,Earthquake,Ground movement,Bangladesh,BGD,Southern Asia,Asia,Banaripara area,,,5,Richter,21.86,89.76,1989,6,12,1989,6,12,1,100,0
1989-0081-CHN,1989,81,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,"Batang county Litang, Baiju, Derong, Xiangcheng, Daocheng counties (Sichuan province)",,,6,Richter,29.99,99.2,1989,4,15,1989,4,15,8,40107,387164
1989-0136-CHN,1989,136,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,Between Datong (Shanxi) and Yangyuan (Hebei),,,5,Richter,39.89,113.88,1989,10,18,1989,10,18,29,105140,0
1989-0155-CHN,1989,155,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,"Gengma, Lancang, Menglian (Yunnan province)",,,6,Richter,23.55,99.53,1989,5,7,1989,5,7,1,26591,127481
1989-0225-CHN,1989,225,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,"Jiangbei county (Chong Qing, Sichuan Province)",,,5,Richter,29.88,106.8,1989,11,20,1989,11,20,4,52800,0
1989-0287-CHN,1989,287,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,Xiaojin county (Sichuan province),,,6,Richter,31.58,102.43,1989,9,22,1989,9,22,0,21404,0
1990-0230-ECU,1990,230,Geophysical,Earthquake,Ground movement,Ecuador,ECU,South America,Americas,"Quito, Pomasqui",,"Slide (land, mud, snow, rock)",5,Richter,0.26,78.45,1990,8,11,1990,8,11,4,6510,0
1990-0020-BGR,1990,20,Geophysical,Earthquake,Ground movement,Bulgaria,BGR,Eastern Europe,Europe,North,,,7,Richter,45.84,26.67,1990,5,30,1990,5,30,1,0,0
1990-0093-CHN,1990,93,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,"Tian Zhu, Jing Tai, Gu Lang counties (Gansu Province)",,,6,Richter,37.0,103.86,1990,10,20,1990,10,20,1,30016,0
1990-0099-CHN,1990,99,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,Qinghai Province,,,7,Richter,35.99,100.24,1990,4,26,1990,4,26,126,34319,130695
1990-0170-CRI,1990,170,Geophysical,Earthquake,Ground movement,Costa Rica,CRI,Central America,Americas,"Alajuela, Heredia, San Jose provinces",,,6,Richter,9.87,84.3,1990,12,22,1990,12,22,1,14299,43677
1990-0191-CRI,1990,191,Geophysical,Earthquake,Ground movement,Costa Rica,CRI,Central America,Americas,"Puntarenas, San Jose areas",,,7,Richter,9.92,84.81,1990,3,25,1990,3,25,0,310,0
1991-0498-AFG,1991,498,Geophysical,Earthquake,Ground movement,Afghanistan,AFG,Southern Asia,Asia,Keshim (Badakhshan province),,"Slide (land, mud, snow, rock)",5,Richter,37.46,68.27,1991,4,18,1991,4,18,24,0,0
1991-0114-CRI,1991,114,Geophysical,Earthquake,Ground movement,Costa Rica,CRI,Central America,Americas,"Bribri, Matina, Bataan, Sixaola, 28 Millas, Estrella Valley (Limon province)",,Tsunami/Tidal wave,6,Richter,9.68,83.07,1991,4,22,1991,4,22,47,10419,214885
1991-0033-AFG,1991,33,Geophysical,Earthquake,Ground movement,Afghanistan,AFG,Southern Asia,Asia,"Konar, Nangarhar, Badakhstan provinces",,,6,Richter,38.99,70.42,1991,1,31,1991,1,31,130,7000,0
1991-0043-CHN,1991,43,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,Keping County (Xinjiang Region),,,7,Richter,40.3,78.9,1991,2,25,1991,2,25,0,42808,0
1991-0088-CHN,1991,88,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,"Yanggao, Hunyuan, Guangling, Tianzhen, Datong Counties (Shanxi province, Yangyuan, Yuxian Counties (Hebei province)",,,6,Richter,39.8,173.9,1991,3,26,1991,3,26,1,240542,0
1991-0390-COL,1991,390,Geophysical,Earthquake,Ground movement,Colombia,COL,South America,Americas,"Buenaventura, Cali (Choco Department)",,,7,Richter,3.55,77.44,1991,11,19,1991,11,19,2,867,0
1991-0293-CRI,1991,293,Geophysical,Earthquake,Ground movement,Costa Rica,CRI,Central America,Americas,San Jose,,,5,Richter,9.59,84.04,1991,8,9,1991,8,9,0,150,0
1991-0773-CRI,1991,773,Geophysical,Earthquake,Ground movement,Costa Rica,CRI,Central America,Americas,Limon area,,,6,Richter,9.54,82.42,1991,5,4,1991,5,4,0,0,0
1992-0151-COL,1992,151,Geophysical,Earthquake,Ground movement,Colombia,COL,South America,Americas,"(1) Murindo, Vigia del Fuerte, Gedeza, Bellaluz, Bebaremeno, Bellavista (Antioquia and Choco Province), (2) Murindo Apartado Medellin area, (3) San Pedro de Uraba",,Volcanic activity,7,Richter,7.12,7.89,1992,10,17,1992,10,17,11,1635,0
1992-0202-AFG,1992,202,Geophysical,Earthquake,Ground movement,Afghanistan,AFG,Southern Asia,Asia,,,,6,Richter,33.38,71.32,1992,5,20,1992,5,20,14,0,0
1992-0093-BEL,1992,93,Geophysical,Earthquake,Ground movement,Belgium,BEL,Western Europe,Europe,,,,6,Richter,51.15,5.8,1992,4,13,1992,4,13,0,0,208567
1992-0256-CHN,1992,256,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,Lhasa prefecture (Tibet),,,7,Richter,29.41,91.1,1992,7,31,1992,7,31,0,16000,6570
1992-0067-CUB,1992,67,Geophysical,Earthquake,Ground movement,Cuba,CUB,Caribbean,Americas,"Granma,Santiago de Cuba, Holguin, Las Tunas provinces",,,7,Richter,19.9,77.5,1992,5,25,1992,5,25,0,5869,0
1992-0093-DEU,1992,93,Geophysical,Earthquake,Ground movement,Germany,DEU,Western Europe,Europe,"Heinsberg, Bonn, Koln (Western)",,,6,Richter,51.15,5.8,1992,4,13,1992,4,13,1,1525,104284
1992-0012-DZA,1992,12,Geophysical,Earthquake,Ground movement,Algeria,DZA,Northern Africa,Africa,Ain-Defla,,,5,Richter,36.5,3.0,1992,1,19,1992,1,19,0,2250,0
1992-0149-EGY,1992,149,Geophysical,Earthquake,Ground movement,Egypt,EGY,Northern Africa,Africa,Near Fayoum (Cairo),,,6,Richter,29.89,31.22,1992,10,12,1992,10,12,552,92649,2502809
1993-0108-CHN,1993,108,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,Yunnan province,,,6,Richter,23.03,101.06,1993,1,27,1993,1,27,0,142146,0
1993-0490-COL,1993,490,Geophysical,Earthquake,Ground movement,Colombia,COL,South America,Americas,"Arauca, Puerto Rondon, Puerto Colombia",,,6,Richter,6.47,-71.21,1993,7,22,1993,7,22,2,3071,0
1993-0184-CRI,1993,184,Geophysical,Earthquake,Ground movement,Costa Rica,CRI,Central America,Americas,"Cartago, Turrialba",,,4,Richter,9.59,84.04,1993,7,10,1993,7,10,3,240,0
1994-0058-BOL,1994,58,Geophysical,Earthquake,Ground movement,Bolivia (Plurinational State of),BOL,South America,Americas,"Arequipa, Cuzco provinces",,"Slide (land, mud, snow, rock)",8,Richter,13.84,67.55,1994,6,9,1994,6,9,5,0,0
1994-0059-COL,1994,59,Geophysical,Earthquake,Ground movement,Colombia,COL,South America,Americas,"Toez, Irlanda, Belalcazar, Mosoco, Monte Cruz, La Cruz, San Jose Cabuya (Cauca Department and Huila Department)",,"Slide (land, mud, snow, rock)",6,Richter,30.0,76.2,1994,6,6,1994,6,6,271,37416,4739
1994-0057-AFG,1994,57,Geophysical,Earthquake,Ground movement,Afghanistan,AFG,Southern Asia,Asia,"Termez, Depth Shallow, Balkh and Jowzan Provinces, Mazar-I-Sharif District",,,6,Richter,37.0,67.0,1994,5,1,1994,5,1,160,100330,0
1989-0092-IDN,1989,92,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,"Irian Jaya, Jayawijaya districts",,"Slide (land, mud, snow, rock)",6,Richter,-4.51,139.02,1989,8,1,1989,8,1,120,17196,0
1989-0290-IRN,1989,290,Geophysical,Earthquake,Ground movement,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Deh Borzog-e Sisakht area,,"Slide (land, mud, snow, rock)",0,Richter,30.96,51.42,1989,10,1,1989,10,1,0,1500,0
1989-0045-IDN,1989,45,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,"Morotai, Tanawangu (Molucca passage)",,,5,Richter,1.03,126.19,1989,3,8,1989,3,8,0,5500,0
1989-0218-IDN,1989,218,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,Alor (Timor),,,6,Richter,-8.08,125.13,1989,7,14,1989,7,14,0,197,0
1989-0090-IRN,1989,90,Geophysical,Earthquake,Ground movement,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Fars,Yasuj, Kohkiluyeh-Boyer Ahmad provinces",,,6,Richter,30.17,50.92,1989,5,27,1989,5,27,100,217,0
1989-0073-MEX,1989,73,Geophysical,Earthquake,Ground movement,Mexico,MEX,Central America,Americas,Near coast of Guerrero,,,7,Richter,16.77,-99.33,1989,4,25,1989,4,25,3,350,0
1989-0167-MWI,1989,167,Geophysical,Earthquake,Ground movement,Malawi,MWI,Eastern Africa,Africa,Salima district,,,6,Richter,13.45,34.29,1989,3,9,1989,3,9,9,50100,66101
1990-0593-IDN,1990,593,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,"Bangkejeren, Kutacane, Medan area (North Sumatra)",,"Slide (land, mud, snow, rock)",6,Richter,3.91,97.46,1990,11,15,1990,11,15,1,2172,4704
1990-0034-IRN,1990,34,Geophysical,Earthquake,Ground movement,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Rasht, Astara, Zanjan, Ghazvin, Tabriz, Ardebil, Khalkhal, Miane, Meshinsharhr, Langroud, Somesara, Rudbar, Talesh, Tarom-e-Olya, Manjil, Loushan (Gilan, Zanjan provinces)",,"Slide (land, mud, snow, rock)",7,Richter,36.96,49.41,1990,6,21,1990,6,21,40000,710000,17918788
1990-0040-PHL,1990,40,Geophysical,Earthquake,Ground movement,Philippines (the),PHL,South-Eastern Asia,Asia,"Cabanatuan, Baguio, Dagupon (Luzon Isl.)",,"Slide (land, mud, snow, rock)",8,Richter,15.66,121.23,1990,7,16,1990,7,16,2412,1597553,827848
1990-0009-PHL,1990,9,Geophysical,Earthquake,Ground movement,Philippines (the),PHL,South-Eastern Asia,Asia,"Bohol, Cebu, Cagayan De Oro, Camiguin, Cotabato, Mindanao",,Tsunami/Tidal wave,7,Richter,9.72,124.62,1990,2,8,1990,2,8,1,34504,2016
1990-0029-PER,1990,29,Geophysical,Earthquake,Ground movement,Peru,PER,South America,Americas,Moyoyamba (San Martin) Amazon,,Volcanic activity,7,Richter,-6.02,-77.23,1990,5,29,1990,5,29,200,100800,2240
1990-0188-FJI,1990,188,Geophysical,Earthquake,Ground movement,Fiji,FJI,Melanesia,Oceania,South of Fiji Islands,,,7,Richter,22.12,175.16,1990,3,3,1990,3,3,0,0,0
1990-0221-FJI,1990,221,Geophysical,Earthquake,Ground movement,Fiji,FJI,Melanesia,Oceania,,,,6,Richter,21.36,176.58,1990,6,23,1990,6,23,0,0,0
1990-0193-GBR,1990,193,Geophysical,Earthquake,Ground movement,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,Wrexham-Welshpool-Shrewsbury area,,,5,Richter,52.31,2.98,1990,4,2,1990,4,2,0,0,0
1990-0169-GRC,1990,169,Geophysical,Earthquake,Ground movement,Greece,GRC,Southern Europe,Europe,Goumenisa (50km north Thessaloniki),,,6,Richter,40.9,22.5,1990,12,21,1990,12,21,1,60,0
1990-0217-GRC,1990,217,Geophysical,Earthquake,Ground movement,Greece,GRC,Southern Europe,Europe,Kanalaki,,,5,Richter,38.0,23.44,1990,6,16,1990,6,16,0,1,0
1990-0017-IDN,1990,17,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,Minahassa Peninsula (Sulawesi Isl.),,,8,Richter,1.19,122.86,1990,4,18,1990,4,18,5,7036,0
1990-0702-IDN,1990,702,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,"Kuningan, Majalenga, Sumedang area (Java)",,,6,Richter,9.9,101.12,1990,7,6,1990,7,6,0,103,0
1990-0118-IRN,1990,118,Geophysical,Earthquake,Ground movement,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Darab, Hadjiabad (Fars province)",,,7,Richter,28.25,55.46,1990,11,6,1990,11,6,21,22400,520317
1990-0105-ITA,1990,105,Geophysical,Earthquake,Ground movement,Italy,ITA,Southern Europe,Europe,Potenza area,,,5,Richter,40.38,15.48,1990,5,6,1990,5,6,2,16,0
1990-0250-ITA,1990,250,Geophysical,Earthquake,Ground movement,Italy,ITA,Southern Europe,Europe,Carlentini (Sicily),,,5,Richter,37.3,15.44,1990,12,13,1990,12,13,19,2700,1119924
1990-0202-KEN,1990,202,Geophysical,Earthquake,Ground movement,Kenya,KEN,Eastern Africa,Africa,Kapenguria,,,7,Richter,5.29,31.86,1990,5,24,1990,5,24,0,0,0
1990-0194-NIC,1990,194,Geophysical,Earthquake,Ground movement,Nicaragua,NIC,Central America,Americas,"Rivas, Managua",,,6,Richter,11.43,86.3,1990,4,3,1990,4,3,0,0,0
1990-0165-PAK,1990,165,Geophysical,Earthquake,Ground movement,Pakistan,PAK,Southern Asia,Asia,Hindu Kush region,,,7,Richter,35.12,70.49,1990,10,22,1990,10,22,11,250,0
1990-0189-PAK,1990,189,Geophysical,Earthquake,Ground movement,Pakistan,PAK,Southern Asia,Asia,Kalat Area,,,6,Richter,28.92,66.33,1990,3,4,1990,3,4,11,40,2240
1990-0028-PHL,1990,28,Geophysical,Earthquake,Ground movement,Philippines (the),PHL,South-Eastern Asia,Asia,Cualasi area (Near Panay Isl.),,,7,Richter,11.76,121.9,1990,6,14,1990,6,14,4,15,0
1990-0214-PNG,1990,214,Geophysical,Earthquake,Ground movement,Papua New Guinea,PNG,Melanesia,Oceania,North East coast,,,0,Richter,3.5,144.0,1990,6,7,1990,6,7,0,0,0
1990-0020-ROU,1990,20,Geophysical,Earthquake,Ground movement,Romania,ROU,Eastern Europe,Europe,Bucharest-Braila-Brasov Area,,,7,Richter,45.84,26.67,1990,5,30,1990,5,30,9,700,0
1991-0114-PAN,1991,114,Geophysical,Earthquake,Ground movement,Panama,PAN,Central America,Americas,"Bocas Del Toro, Chiriqui",,Flood,7,Richter,9.68,83.07,1991,4,22,1991,4,22,30,18060,0
1991-0122-GEO,1991,122,Geophysical,Earthquake,Ground movement,Georgia,GEO,Western Asia,Asia,Dzhava-Tskhinvazli area,,"Slide (land, mud, snow, rock)",6,Richter,42.8,44.0,1991,6,15,1991,6,15,8,3740,0
1991-0230-GTM,1991,230,Geophysical,Earthquake,Ground movement,Guatemala,GTM,Central America,Americas,"Escuintla, Chimaltenango, Solola, Sacatepeguez",,"Slide (land, mud, snow, rock)",5,Richter,14.65,90.99,1991,9,18,1991,9,18,14,23890,0
1991-0368-IND,1991,368,Geophysical,Earthquake,Ground movement,India,IND,Southern Asia,Asia,"Harsil (near Gangotri, Uttarkashi's Bhagirathi valley, Uttar Pradesh)",,"Slide (land, mud, snow, rock)",6,Richter,30.78,78.77,1991,10,20,1991,10,20,1500,54383,128931
1991-0173-PER,1991,173,Geophysical,Earthquake,Ground movement,Peru,PER,South America,Americas,Maca Arequipa region,,"Slide (land, mud, snow, rock)",5,Richter,15.68,71.27,1991,7,24,1991,7,24,11,1535,0
1991-0774-ROU,1991,774,Geophysical,Earthquake,Ground movement,Romania,ROU,Eastern Europe,Europe,Orosova area,,"Slide (land, mud, snow, rock)",6,Richter,44.89,22.41,1991,7,18,1991,7,18,0,1845,0
1991-0124-IDN,1991,124,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,Gorontalo area (Minahassa Peninsula),,,7,Richter,1.2,122.79,1991,6,20,1991,6,20,0,1000,0
1991-0165-IDN,1991,165,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,"Kalabahi (Alors district, Timor)",,,7,Richter,8.1,125.68,1991,7,4,1991,7,4,28,16191,38679
1991-0284-IRN,1991,284,Geophysical,Earthquake,Ground movement,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Behbahan area,,,5,Richter,30.6,50.2,1991,11,4,1991,11,4,0,1501,0
1991-0232-IRQ,1991,232,Geophysical,Earthquake,Ground movement,Iraq,IRQ,Western Asia,Asia,Arbil Region,,,6,Richter,36.12,44.01,1991,7,27,1991,7,27,20,500,0
1991-0001-MMR,1991,1,Geophysical,Earthquake,Ground movement,Myanmar,MMR,South-Eastern Asia,Asia,Thabeikkyin area,,,7,Richter,23.5,96.3,1991,1,5,1991,1,5,0,160,0
1991-0033-PAK,1991,33,Geophysical,Earthquake,Ground movement,Pakistan,PAK,Southern Asia,Asia,"Malakand, Chitral, Peshawar area",,,6,Richter,38.99,70.42,1991,1,31,1991,1,31,300,204794,21488
1991-0773-PAN,1991,773,Geophysical,Earthquake,Ground movement,Panama,PAN,Central America,Americas,"Changuinola, Almirante, Bocas del Toro area",,,6,Richter,9.54,82.42,1991,5,4,1991,5,4,0,2036,0
1991-0066-PER,1991,66,Geophysical,Earthquake,Ground movement,Peru,PER,South America,Americas,"Nueva Cajamarea (Near Mayobamba, Rioja, Union)",,,7,Richter,5.98,77.09,1991,4,4,1991,4,4,53,45750,0
1991-0399-ROU,1991,399,Geophysical,Earthquake,Ground movement,Romania,ROU,Eastern Europe,Europe,Vouteg (Timis province),,,6,Richter,45.5,21.3,1991,12,2,1991,12,2,0,4005,0
1992-0481-GEO,1992,481,Geophysical,Earthquake,Ground movement,Georgia,GEO,Western Asia,Asia,Barisakho area,,"Slide (land, mud, snow, rock)",7,Richter,42.5,45.07,1992,10,24,1992,10,24,1,10,0
1992-0180-IRN,1992,180,Geophysical,Earthquake,Ground movement,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Lordegan-Aradal area,,"Slide (land, mud, snow, rock)",5,Richter,31.73,50.78,1992,3,4,1992,3,4,5,4050,0
1992-0081-KGZ,1992,81,Geophysical,Earthquake,Ground movement,Kyrgyzstan,KGZ,Central Asia,Asia,"Dshalal-Abad, Naryn, Talas regions (Near Kyrgyzstan/Chinese Border)",,"Slide (land, mud, snow, rock)",8,Richter,42.14,73.58,1992,8,19,1992,8,19,54,86806,271138
1992-0163-IDN,1992,163,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,"Sikka, East Flores, Ende, Ngada (Flores Isl.)",,Tsunami/Tidal wave,8,Richter,8.48,121.93,1992,12,12,1992,12,12,2500,92103,208567
1992-0079-NIC,1992,79,Geophysical,Earthquake,Ground movement,Nicaragua,NIC,Central America,Americas,"San Martin, San Juan Del Sur, Huehuete, Casares, La Boquita, Poneloya, Corinto, Masachapa, Pochomil",,Tsunami/Tidal wave,7,Richter,11.74,87.34,1992,9,1,1992,9,1,179,6179,52142
1992-0247-IDN,1992,247,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,"Brebes area (Java, Sulawesi)",,,5,Richter,7.14,109.07,1992,2,4,1992,2,4,0,7501,0
1992-0252-JPN,1992,252,Geophysical,Earthquake,Ground movement,Japan,JPN,Eastern Asia,Asia,Kanto area (Tokyo),,,6,Richter,35.11,139.64,1992,2,2,1992,2,2,0,32,0
1992-0082-KGZ,1992,82,Geophysical,Earthquake,Ground movement,Kyrgyzstan,KGZ,Central Asia,Asia,"Burgandi-Nookat (Osh, Djalalabad districts)",,,7,Richter,42.01,74.01,1992,5,22,1992,5,22,4,50000,64656
1992-0093-NLD,1992,93,Geophysical,Earthquake,Ground movement,Netherlands (the),NLD,Western Europe,Europe,Roermond,,,6,Richter,51.15,5.8,1992,4,13,1992,4,13,0,20,0
1992-0058-PAK,1992,58,Geophysical,Earthquake,Ground movement,Pakistan,PAK,Southern Asia,Asia,Quetta,,,6,Richter,29.3,66.7,1992,8,28,1992,8,28,4,200,0
1992-0202-PAK,1992,202,Geophysical,Earthquake,Ground movement,Pakistan,PAK,Southern Asia,Asia,"Peshawar, Kohat districts",,,6,Richter,33.38,71.32,1992,5,20,1992,5,20,36,2100,0
1993-0044-JPN,1993,44,Geophysical,Earthquake,Tsunami,Japan,JPN,Eastern Asia,Asia,Okushiri Island (Hokkaido),,Fire,8,Richter,42.85,139.2,1993,7,12,1993,7,12,239,7355,2025877
1993-0049-GUM,1993,49,Geophysical,Earthquake,Ground movement,Guam,GUM,Micronesia,Oceania,Tumon Bay area,,"Slide (land, mud, snow, rock)",8,Richter,12.98,144.8,1993,8,9,1993,8,9,0,71,243105
1993-0097-JPN,1993,97,Geophysical,Earthquake,Ground movement,Japan,JPN,Eastern Asia,Asia,Near Kushiro (Hokkaido),,"Slide (land, mud, snow, rock)",8,Richter,43.3,143.69,1993,1,15,1993,1,15,2,10522,725264
1993-0144-PER,1993,144,Geophysical,Earthquake,Ground movement,Peru,PER,South America,Americas,Lima region,,"Slide (land, mud, snow, rock)",6,Richter,11.65,76.53,1993,4,18,1993,4,18,6,145,0
1993-0076-PNG,1993,76,Geophysical,Earthquake,Ground movement,Papua New Guinea,PNG,Melanesia,Oceania,Goroka,,"Slide (land, mud, snow, rock)",7,Richter,5.89,146.2,1993,10,13,1993,10,13,53,20200,10129
1993-0136-GRC,1993,136,Geophysical,Earthquake,Ground movement,Greece,GRC,Southern Europe,Europe,Pyrgos-Amalias area,,,5,Richter,37.59,21.39,1993,3,27,1993,3,27,1,1516,0
1993-0579-GRC,1993,579,Geophysical,Earthquake,Ground movement,Greece,GRC,Southern Europe,Europe,Patras,,,5,Richter,38.22,21.76,1993,7,14,1993,7,14,0,605,0
1993-0074-IND,1993,74,Geophysical,Earthquake,Ground movement,India,IND,Southern Asia,Asia,"Killari, Haegoan, Sostour, Holi (Latur and Osmanabad districts, Maharastra state)",,,6,Richter,16.4,74.2,1993,9,29,1993,9,29,9748,30000,567246
1993-0581-IND,1993,581,Geophysical,Earthquake,Ground movement,India,IND,Southern Asia,Asia,Latur area,,,5,Richter,18.12,76.53,1993,11,12,1993,11,12,0,525,0
1993-0035-IRN,1993,35,Geophysical,Earthquake,Ground movement,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Gachsaran-Dogonbadan,,,6,Richter,30.15,50.81,1993,6,22,1993,6,22,24,4049,0
1993-0578-IRN,1993,578,Geophysical,Earthquake,Ground movement,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Nehbandan area,,,5,Richter,32.1,60.09,1993,1,27,1993,1,27,0,1003,0
1993-0086-MEX,1993,86,Geophysical,Earthquake,Ground movement,Mexico,MEX,Central America,Americas,Guerrero state,,,7,Richter,16.76,98.72,1993,10,24,1993,10,24,0,0,0
1993-0580-NPL,1993,580,Geophysical,Earthquake,Ground movement,Nepal,NPL,Southern Asia,Asia,Northwestern,,,5,Richter,28.72,82.28,1993,10,20,1993,10,20,0,285,0
1994-0007-IDN,1994,7,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,"Liwa, Lampung Province (South Sumatra), Balikbukit, Belalau, Sumberjaya",,"Slide (land, mud, snow, rock)",7,Richter,4.97,104.3,1994,2,16,1994,2,16,207,49399,336587
1994-0041-IRN,1994,41,Geophysical,Earthquake,Ground movement,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Firuzabad, Meymand (Fars Province)",,"Slide (land, mud, snow, rock)",6,Richter,29.1,52.62,1994,3,1,1994,3,1,3,15041,0
1994-0070-IRN,1994,70,Geophysical,Earthquake,Ground movement,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Shiraz (Fars province),,"Slide (land, mud, snow, rock)",6,Richter,29.21,52.5,1994,6,20,1994,6,20,2,100,0
1994-0062-IDN,1994,62,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,"Purwoharjo, Sarongan, Tegaldlimo, Banyuwangi (South Java)",,Tsunami/Tidal wave,7,Richter,10.2,13.2,1994,6,2,1994,6,2,239,8720,4344
1994-0006-IDN,1994,6,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,(1) Irian Jaya region(2) Halmahera,,,7,Richter,1.01,127.73,1994,1,21,1994,1,21,7,200040,0
1994-0040-IRN,1994,40,Geophysical,Earthquake,Ground movement,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Sefid Abeh (Sistan Region),,,6,Richter,30.85,60.6,1994,2,23,1994,2,23,9,1500,2764
